kommune, 2011_socialdemokratiet,2011_radikale_venstre,2011_de_konservative,2011_socialistisk_folkeparti,2011_liberal_alliance,2011_kristendemokraterne,2011_dansk_folkeparti,2011_venstre,2011_enhedslisten,2011_alternativet
Billund,20.2,5.1,3.2,5,4.5,1.9,17.1,40.6,2.3,na
Esbjerg,26.9,6.3,3,8.8,4.3,0.7,13.1,31.7,5.2,na
Fanoe,20.8,8.5,4.2,10.6,4.9,0.4,13.1,29.8,7.7,na
Fredericia,30.4,6.2,3.9,7.9,4.4,0.9,15.2,26.7,4.5,na
Haderslev,24.2,6.2,3.7,8.4,5.1,1.3,13.8,33.4,3.9,na
Kolding,21,7.8,5.3,9.7,5.8,1,14.2,31,4.2,na
Soenderborg,27.4,5.9,5.1,7.1,4.4,0.5,15.4,31.1,3.1,na
Toender,24.3,5.4,3.6,6.9,4.7,1.8,13.8,36.5,2.9,na
Varde,18.8,6.1,3,5.9,4.5,1.7,14.2,42.9,2.8,na
Vejen,22.9,5.9,3.9,6.6,5.4,0.8,14.2,37.7,2.7,na
Vejle,22.2,8.6,4.4,7.9,5.6,1.1,16.8,29.4,4.1,na
Aabenraa,24.9,5.7,3.4,6,4.2,1,15.6,36,3.1,na
